YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,WHEELS_OFF,SCHEDULED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,SCHEDULED_ARRIVAL,ARRIVAL_TIME,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,HA,102,N492HA,HNL,ITO,0500,0452,0502,49,35,216,0537,0549,0543,0,0,,,,,,
2015,1,1,4,OO,5467,N701BR,ONT,SFO,0500,0513,0532,89,61,363,0633,0629,0638,0,0,,,,,,
2015,1,1,4,HA,108,N476HA,HNL,KOA,0502,0501,0513,42,30,163,0543,0544,0549,0,0,,,,,,
2015,1,1,4,AS,730,N423AS,ANC,SEA,0505,0457,0513,205,179,1448,0912,0930,0916,0,0,,,,,,
2015,1,1,4,HA,206,N484HA,HNL,OGG,0505,0454,0504,36,20,100,0524,0541,0530,0,0,,,,,,
2015,1,1,4,UA,1500,N30401,ORD,IAH,0510,0514,0537,175,147,925,0804,0805,0816,0,0,,,,,,
2015,1,1,4,AA,1323,N3CXAA,MCO,MIA,0510,0507,0521,63,38,192,0559,0613,0602,0,0,,,,,,
2015,1,1,4,NK,103,N616NK,BOS,MYR,0510,0506,0522,140,112,738,0714,0730,0720,0,0,,,,,,
2015,1,1,4,OO,7404,N8982A,HIB,MSP,0510,0500,0537,68,35,174,0612,0618,0618,0,0,,,,,,
2015,1,1,4,OO,7419,N445SW,ABR,MSP,0510,0508,0529,69,41,257,0610,0619,0615,0,0,,,,,,
2015,1,1,4,OO,5254,N746SK,MAF,IAH,0510,,,87,,429,,0637,,0,1,B,,,,,
2015,1,1,4,US,480,N676AW,SEA,PHX,0515,0510,0525,165,146,1107,0851,0900,0858,0,0,,,,,,
2015,1,1,4,AA,1057,N3ASAA,DFW,MIA,0515,0703,0718,161,133,1121,1031,0856,1038,0,0,,0,0,0,0,102
2015,1,1,4,AA,2454,N3ETAA,BOS,MIA,0515,0510,0524,208,182,1258,0826,0843,0845,0,0,,,,,,
2015,1,1,4,EV,4354,N12142,MKE,IAH,0515,0517,0529,178,163,984,0812,0813,0826,0,0,,,,,,
2015,1,1,4,US,425,N174US,PDX,PHX,0520,0620,0633,150,132,1009,0945,0850,0950,0,0,,0,0,60,0,0
2015,1,1,4,AA,89,N3KVAA,IAH,MIA,0520,0618,0637,141,111,964,0928,0841,0935,0,0,,0,0,54,0,0
2015,1,1,4,DL,2099,N355NW,BNA,DTW,0520,0511,0541,103,66,456,0747,0803,0757,0,0,,,,,,
2015,1,1,4,EV,4685,N26545,BRO,IAH,0520,0517,0532,74,49,308,0621,0634,0629,0,0,,,,,,
2015,1,1,4,EV,5583,N882AS,VPS,ATL,0520,0514,0523,66,42,250,0705,0726,0711,0,0,,,,,,
2015,1,1,4,OO,5484,N824AS,BOI,SFO,0520,0525,0549,112,79,522,0608,0612,0615,0,0,,,,,,
2015,1,1,4,OO,7370,N432SW,BJI,MSP,0520,0517,0548,60,34,199,0622,0620,0629,0,0,,,,,,
2015,1,1,4,HA,103,N477HA,HNL,LIH,0523,0513,0520,37,21,102,0541,0600,0548,0,0,,,,,,
2015,1,1,4,EV,5187,N720EV,BNA,ATL,0525,0525,0557,65,35,214,0732,0730,0735,0,0,,,,,,
2015,1,1,4,MQ,2859,N660MQ,SGF,DFW,0525,,,95,,364,,0700,,0,1,B,,,,,
2015,1,1,4,UA,1201,N79521,PHL,IAH,0530,0532,0544,230,210,1325,0814,0820,0826,0,0,,,,,,
2015,1,1,4,UA,1221,N37281,PDX,DEN,0530,0534,0543,142,125,991,0848,0852,0856,0,0,,,,,,
2015,1,1,4,UA,1607,N36476,SEA,DEN,0530,0529,0539,157,138,1024,0857,0907,0906,0,0,,,,,,
2015,1,1,4,AA,328,N4XKAA,DEN,DFW,0530,0623,0655,125,96,641,0931,0835,0941,0,0,,13,0,53,0,0
2015,1,1,4,EV,5764,N832AS,SBN,ORD,0530,0527,0539,55,22,84,0501,0525,0511,0,0,,,,,,
2015,1,1,4,F9,1279,N918FR,PHL,MCO,0530,0526,0538,160,128,861,0746,0810,0752,0,0,,,,,,
2015,1,1,4,NK,409,N509NK,ORD,FLL,0530,0526,0538,188,149,1182,0907,0938,0913,0,0,,,,,,
2015,1,1,4,OO,5460,N583SW,RDD,SFO,0530,,,90,,199,,0700,,0,1,A,,,,,
2015,1,1,4,OO,6391,N593ML,EUG,DEN,0530,0526,0552,163,143,996,0915,0913,0926,0,0,,,,,,
2015,1,1,4,UA,1532,N77066,SFO,DEN,0531,0550,0605,146,127,967,0912,0857,0923,0,0,,7,0,19,0,0
2015,1,1,4,UA,1167,N66837,ORD,DEN,0533,0540,0550,167,142,888,0712,0720,0723,0,0,,,,,,
2015,1,1,4,UA,1012,N17245,IAD,IAH,0535,0541,0553,207,194,1190,0807,0802,0816,0,0,,,,,,
2015,1,1,4,B6,2001,N358JB,BUF,JFK,0535,0530,0547,88,56,301,0643,0703,0648,0,0,,,,,,
2015,1,1,4,B6,2807,N190JB,PWM,JFK,0535,0528,0541,85,50,273,0631,0700,0635,0,0,,,,,,
2015,1,1,4,B6,2023,N324JB,JFK,SJU,0535,0618,0631,225,184,1598,1035,1020,1039,0,0,,0,0,19,0,0
2015,1,1,4,EV,4557,N12967,CRP,IAH,0535,0523,0535,61,33,201,0608,0636,0615,0,0,,,,,,
2015,1,1,4,EV,5241,N849AS,PIA,DTW,0535,0530,0548,88,54,346,0742,0803,0745,0,0,,,,,,
2015,1,1,4,EV,5498,N132EV,ORD,DTW,0535,0550,0608,85,41,235,0749,0800,0757,0,0,,,,,,
2015,1,1,4,OO,6512,N925SW,FAT,LAX,0535,0530,0603,75,42,209,0645,0650,0650,0,0,,,,,,
2015,1,1,4,UA,1577,N69813,SMF,DEN,0538,0634,0700,142,129,909,1009,0900,1018,0,0,,22,0,56,0,0
2015,1,1,4,OO,4986,N719SK,AUS,LAX,0538,0535,0551,212,173,1242,0644,0710,0654,0,0,,,,,,
2015,1,1,4,B6,727,N292JB,BOS,BWI,0540,0536,0550,101,66,369,0656,0721,0700,0,0,,,,,,
2015,1,1,4,B6,1012,N375JB,ORD,BOS,0540,0529,0545,136,95,867,0820,0856,0823,0,0,,,,,,
2015,1,1,4,DL,824,N3736C,PHX,DTW,0540,0808,0827,223,178,1671,1325,1123,1331,0,0,,0,0,0,0,128
2015,1,1,4,DL,941,N910DN,MCI,ATL,0540,0546,0557,122,84,692,0821,0842,0827,0,0,,,,,,
2015,1,1,4,DL,2079,N389DA,BOS,DTW,0540,0537,0552,143,105,632,0737,0803,0742,0,0,,,,,,
2015,1,1,4,EV,3268,N14998,ATL,IAD,0540,0556,0605,105,79,534,0724,0725,0739,0,0,,,,,,
2015,1,1,4,EV,4160,N11150,JAX,EWR,0540,0531,0540,137,109,820,0729,0757,0743,0,0,,,,,,
2015,1,1,4,OO,6285,N962SW,MFR,DEN,0540,0538,0620,161,138,964,0938,0921,0946,0,0,,25,0,0,0,0
2015,1,1,4,OO,5184,N776SK,SLC,IAH,0540,0537,0555,193,158,1195,0933,0953,0937,0,0,,,,,,
2015,1,1,4,OO,6358,N926SW,IDA,DEN,0541,0539,0609,104,72,458,0721,0725,0732,0,0,,,,,,
2015,1,1,4,F9,161,N905FR,MSN,DEN,0544,0534,0541,145,128,826,0649,0709,0658,0,0,,,,,,
2015,1,1,4,OO,4833,N554CA,MKE,DTW,0545,0543,0553,74,36,237,0729,0759,0738,0,0,,,,,,
2015,1,1,4,UA,1119,N69810,GEG,DEN,0545,0542,0603,139,107,836,0850,0904,0858,0,0,,,,,,
2015,1,1,4,UA,1237,N65832,SEA,IAH,0545,0541,0554,251,238,1874,1152,1156,1207,0,0,,,,,,
2015,1,1,4,UA,1540,N78509,DCA,IAH,0545,0550,0600,209,182,1208,0802,0814,0807,0,0,,,,,,
2015,1,1,4,AA,1433,N4YNAA,SAT,DFW,0545,0539,0551,65,41,247,0632,0650,0638,0,0,,,,,,
2015,1,1,4,AA,2299,N3LLAA,JFK,MIA,0545,0640,0657,185,152,1089,0929,0850,0959,0,0,,14,0,55,0,0
2015,1,1,4,B6,721,N623JB,BOS,PBI,0545,0551,0607,205,170,1197,0857,0910,0901,0,0,,,,,,
2015,1,1,4,B6,917,N606JB,BOS,JFK,0545,0543,0555,77,44,187,0639,0702,0649,0,0,,,,,,
2015,1,1,4,B6,939,N794JB,JFK,BQN,0545,0545,0602,221,180,1576,1002,1026,1007,0,0,,,,,,
2015,1,1,4,DL,1890,N377DA,DFW,ATL,0545,0603,0616,124,86,731,0842,0849,0847,0,0,,,,,,
2015,1,1,4,EV,4646,N29917,CHS,EWR,0545,0540,0606,116,91,628,0737,0741,0742,0,0,,,,,,
2015,1,1,4,F9,365,N218FR,MKE,DEN,0545,0621,0630,161,120,896,0730,0726,0743,0,0,,0,0,17,0,0
2015,1,1,4,F9,117,N933FR,MSP,DEN,0545,0538,0553,129,104,680,0637,0654,0646,0,0,,,,,,
2015,1,1,4,MQ,2926,N932MQ,CHS,DFW,0545,,,190,,987,,0755,,0,1,B,,,,,
2015,1,1,4,OO,2599,N435SW,DEN,LAX,0545,0658,0709,150,112,862,0801,0715,0811,0,0,,0,0,56,0,0
2015,1,1,4,OO,5482,N934SW,SBA,DEN,0545,0542,0607,154,134,916,0921,0919,0929,0,0,,,,,,
2015,1,1,4,OO,6457,N560SW,SMX,LAX,0545,,,66,,134,,0651,,0,1,A,,,,,
2015,1,1,4,HA,218,N485HA,HNL,KOA,0548,0540,0550,42,27,163,0617,0630,0624,0,0,,,,,,
2015,1,1,4,B6,515,N337JB,BOS,BUF,0549,0540,0557,96,78,395,0715,0725,0719,0,0,,,,,,
2015,1,1,4,UA,228,N439UA,PDX,EWR,0550,0547,0557,314,263,2434,1320,1404,1329,0,0,,,,,,
2015,1,1,4,US,641,N650AW,IND,PHX,0550,0545,0557,240,234,1488,0751,0750,0754,0,0,,,,,,
2015,1,1,4,UA,495,N548UA,LAX,DEN,0550,0550,0601,145,118,862,0859,0915,0906,0,0,,,,,,
2015,1,1,4,UA,507,N808UA,CLE,IAH,0550,0629,0640,194,170,1091,0830,0804,0847,0,0,,4,0,39,0,0
2015,1,1,4,UA,1553,N37290,BOS,EWR,0550,0552,0604,88,46,200,0650,0718,0659,0,0,,,,,,
2015,1,1,4,US,403,N660AW,DEN,PHX,0550,0550,0605,119,91,602,0736,0749,0739,0,0,,,,,,
2015,1,1,4,US,446,N651AW,MCI,PHX,0550,0544,0559,178,159,1044,0738,0748,0743,0,0,,,,,,
2015,1,1,4,AA,1178,N573AA,AUS,DFW,0550,0548,0607,60,36,190,0643,0650,0649,0,0,,,,,,
2015,1,1,4,AA,2410,N3BAAA,LAX,DFW,0550,0600,0617,180,150,1235,1047,1050,1052,0,0,,,,,,
2015,1,1,4,DL,2453,N966DL,GSP,ATL,0550,0550,0616,59,28,153,0644,0649,0649,0,0,,,,,,
2015,1,1,4,B6,2228,N231JB,MCO,EWR,0550,0548,0600,149,127,937,0807,0819,0812,0,0,,,,,,
2015,1,1,4,EV,4555,N13133,MCI,IAH,0550,0548,0603,135,110,643,0753,0805,0806,0,0,,,,,,
2015,1,1,4,EV,5698,N835AS,BDL,IAD,0550,0543,0552,88,58,326,0650,0718,0659,0,0,,,,,,
2015,1,1,4,MQ,3534,N925MQ,ABI,DFW,0550,,,55,,158,,0645,,0,1,B,,,,,
2015,1,1,4,EV,4339,N14179,RIC,IAH,0550,0548,0602,205,195,1157,0817,0815,0828,0,0,,,,,,
2015,1,1,4,OO,6204,N917SW,BFL,DEN,0550,0556,0627,150,125,845,0932,0920,0940,0,0,,14,0,6,0,0
2015,1,1,4,OO,6261,N107SY,SAT,SFO,0550,0557,0606,249,198,1482,0724,0759,0740,0,0,,,,,,
2015,1,1,4,OO,5160,N794SK,OMA,IAH,0550,0605,0621,140,120,781,0821,0810,0831,0,0,,6,0,15,0,0
2015,1,1,4,OO,6224,N956SW,RDM,DEN,0550,0549,0601,143,130,898,0911,0913,0919,0,0,,,,,,
2015,1,1,4,B6,860,N656JB,FLL,BDL,0553,0551,0601,166,162,1173,0843,0839,0848,0,0,,,,,,
2015,1,1,4,EV,5230,N181PQ,CID,ATL,0554,0554,0621,131,84,694,0845,0905,0848,0,0,,,,,,
2015,1,1,4,WN,526,N742SW,SFO,DEN,0555,0553,0604,150,132,967,0916,0925,0923,0,0,,,,,,
2015,1,1,4,UA,1222,N68452,MCO,LAX,0555,0557,0607,341,310,2218,0817,0836,0840,0,0,,,,,,
2015,1,1,4,UA,1507,N31412,TPA,EWR,0555,0549,0558,156,131,997,0809,0831,0818,0,0,,,,,,
2015,1,1,4,AA,1094,N3DXAA,SEA,DFW,0555,0555,0619,235,216,1660,1155,1150,1206,0,0,,16,0,0,0,0
2015,1,1,4,AA,1233,N3HXAA,BOS,DFW,0555,0551,0606,275,243,1562,0909,0930,0920,0,0,,,,,,
2015,1,1,4,B6,115,N284JB,SYR,JFK,0555,0550,0617,83,43,209,0700,0718,0705,0,0,,,,,,
2015,1,1,4,B6,185,N334JB,ROC,JFK,0555,0550,0610,85,48,264,0658,0720,0703,0,0,,,,,,
2015,1,1,4,EV,2519,N905EV,TYR,DFW,0555,0546,0555,50,25,102,0620,0645,0636,0,0,,,,,,
2015,1,1,4,EV,3928,N11140,MCI,ORD,0555,0554,0613,94,58,403,0711,0729,0717,0,0,,,,,,
2015,1,1,4,EV,3941,N16561,LAN,ORD,0555,0555,0622,69,39,179,0601,0604,0610,0,0,,,,,,
2015,1,1,4,EV,5976,N27200,BUF,EWR,0555,0928,1006,80,48,282,1054,0715,1101,0,0,,13,0,0,0,213
2015,1,1,4,MQ,3161,N5PBMQ,XNA,DFW,0555,,,75,,280,,0710,,0,1,B,,,,,
2015,1,1,4,EV,5677,N12563,GSO,EWR,0556,0538,0557,94,65,445,0702,0730,0708,0,0,,,,,,
2015,1,1,4,NK,224,N607NK,ORD,LGA,0556,0547,0603,124,92,733,0835,0900,0927,0,0,,27,0,0,0,0
2015,1,1,4,UA,1457,N76529,LAX,IAH,0557,0555,0607,192,160,1379,1047,1109,1053,0,0,,,,,,
2015,1,1,4,AA,1205,N3FKAA,EWR,MIA,0559,0552,0614,183,149,1085,0843,0902,0849,0,0,,,,,,
2015,1,1,4,OO,5547,N910SW,ONT,DEN,0559,0758,0802,141,123,819,1105,0920,1116,0,0,,0,0,0,0,116
2015,1,1,4,UA,210,N830UA,MSP,DEN,0600,0556,0610,139,100,680,0650,0719,0656,0,0,,,,,,
2015,1,1,4,UA,214,N454UA,PBI,IAH,0600,0555,0612,170,146,956,0738,0750,0747,0,0,,,,,,
2015,1,1,4,UA,247,N462UA,PHX,IAH,0600,0751,0822,148,118,1009,1120,0928,1131,0,0,,12,0,0,0,111
2015,1,1,4,UA,256,N464UA,RSW,IAH,0600,0600,0613,156,133,861,0726,0736,0735,0,0,,,,,,
2015,1,1,4,UA,319,N498UA,EWR,MCO,0600,0603,0617,173,135,937,0832,0853,0835,0,0,,,,,,
2015,1,1,4,UA,374,N415UA,OMA,ORD,0600,0612,0631,97,57,416,0728,0737,0731,0,0,,,,,,
2015,1,1,4,US,635,N544UW,SMF,PHX,0600,0551,0615,110,90,647,0845,0850,0902,0,0,,,,,,
2015,1,1,4,US,646,N654AW,OAK,PHX,0600,0558,0626,115,88,646,0854,0855,0903,0,0,,,,,,
2015,1,1,4,US,1941,N708UW,PVD,CLT,0600,0555,0606,139,114,683,0800,0819,0805,0,0,,,,,,
2015,1,1,4,UA,422,N847UA,RNO,DEN,0600,0557,0619,130,120,804,0919,0910,0924,0,0,,,,,,
2015,1,1,4,UA,544,N831UA,PIT,IAH,0600,0622,0641,195,175,1117,0836,0815,0839,0,0,,2,0,22,0,0
2015,1,1,4,UA,1016,N68807,DEN,IAH,0600,0552,0603,142,114,862,0857,0922,0918,0,0,,,,,,
2015,1,1,4,WN,4122,N486WN,BOS,BWI,0600,0556,0613,105,63,369,0716,0745,0719,0,0,,,,,,
2015,1,1,4,WN,4822,N293WN,LAS,BWI,0600,0602,0612,270,230,2106,1302,1330,1305,0,0,,,,,,
2015,1,1,4,WN,2215,N249WN,ABQ,HOU,0600,0607,0636,120,103,759,0919,0900,0922,0,0,,15,0,7,0,0
2015,1,1,4,WN,676,N630WN,PHX,SLC,0600,0601,0610,95,76,507,0726,0735,0729,0,0,,,,,,
2015,1,1,4,WN,2787,N910WN,PIT,FLL,0600,0559,0608,170,132,994,0820,0850,0824,0,0,,,,,,
2015,1,1,4,WN,4859,N8641B,PVD,BWI,0600,0606,0617,100,63,327,0720,0740,0727,0,0,,,,,,
2015,1,1,4,WN,597,N768SW,SFO,ATL,0600,0554,0603,280,253,2139,1316,1340,1324,0,0,,,,,,
2015,1,1,4,UA,1158,N73445,SFO,ORD,0600,0557,0618,257,222,1846,1200,1217,1213,0,0,,,,,,
2015,1,1,4,UA,1163,N24224,MCO,EWR,0600,0555,0605,154,126,937,0811,0834,0816,0,0,,,,,,
2015,1,1,4,UA,1188,N68822,PDX,IAH,0600,0613,0624,244,224,1825,1208,1204,1215,0,0,,,,,,
2015,1,1,4,UA,1198,N38451,BOS,ORD,0600,0557,0610,173,146,867,0736,0753,0742,0,0,,,,,,
2015,1,1,4,UA,1224,N87531,SFO,LAX,0600,0605,0616,88,52,337,0708,0728,0717,0,0,,,,,,
2015,1,1,4,UA,1296,N37471,SAT,LAX,0600,0616,0626,207,170,1211,0716,0727,0724,0,0,,,,,,
2015,1,1,4,UA,1431,N36207,BOS,LAX,0600,0603,0616,404,376,2611,0932,0944,0939,0,0,,,,,,
2015,1,1,4,UA,1637,N33294,SEA,EWR,0600,0606,0616,311,268,2402,1344,1411,1357,0,0,,,,,,
2015,1,1,4,UA,1735,N66814,LAX,ORD,0600,0607,0620,250,201,1744,1141,1210,1154,0,0,,,,,,
2015,1,1,4,US,410,N765US,IAH,PHX,0600,0553,0607,170,155,1009,0742,0750,0746,0,0,,,,,,
2015,1,1,4,US,459,N536UW,MCO,PHX,0600,0557,0610,281,273,1849,0843,0841,0851,0,0,,,,,,
2015,1,1,4,US,610,N560UW,SFO,PHX,0600,0557,0613,114,87,651,0840,0854,0857,0,0,,,,,,
2015,1,1,4,AA,72,N5EKAA,DFW,MCO,0600,0606,0624,145,120,985,0924,0925,0928,0,0,,,,,,
2015,1,1,4,AA,196,N3FBAA,MIA,PHL,0600,0604,0622,164,148,1013,0850,0844,0858,0,0,,,,,,
2015,1,1,4,AA,304,N4XHAA,SLC,DFW,0600,0601,0634,170,137,989,0951,0950,1002,0,0,,,,,,
2015,1,1,4,AA,175,N3EWAA,DCA,DFW,0600,,,215,,1192,,0835,,0,1,B,,,,,
2015,1,1,4,AA,281,N3FXAA,MIA,DFW,0600,0559,0613,194,166,1121,0759,0814,0813,0,0,,,,,,
2015,1,1,4,AA,233,N3BEAA,BWI,MIA,0600,0643,0704,163,124,946,0908,0843,0914,0,0,,0,0,31,0,0
2015,1,1,4,AA,1100,N3GWAA,DFW,LGA,0600,0554,0627,190,154,1389,1001,1010,1005,0,0,,,,,,
2015,1,1,4,AA,1103,N3HCAA,LGA,DFW,0600,,,245,,1389,,0905,,0,1,B,,,,,
2015,1,1,4,AA,1028,N3BFAA,DEN,ORD,0600,0601,0615,155,106,888,0901,0935,0908,0,0,,,,,,
2015,1,1,4,AA,1039,N541AA,MCI,DFW,0600,0606,0619,105,80,460,0739,0745,0748,0,0,,,,,,
2015,1,1,4,AA,1055,N573AA,MCO,DFW,0600,,,185,,985,,0805,,0,1,B,,,,,
2015,1,1,4,AA,1180,N3AYAA,SFO,DFW,0600,,,210,,1464,,1130,,0,1,B,,,,,
